source,destination,protocol,chunkSize,tCount,fileSize,retransmits,connectTime,requestTime,receiveTime
192.168.0.1,www.facebook.com,HTTP/1.0,71,0,366,2,0.000408,0.000077,0.000011
192.168.0.1,www.facebook.com,HTTP/1.1,71,39,3453,2,0.000443,0.000082,0.000126
192.168.0.1,www.facebook.com,HTTP/1.0,72,0,366,2,0.000454,0.000053,0.000011
192.168.0.1,www.facebook.com,HTTP/1.1,72,38,3453,2,0.000411,0.000051,0.000049
192.168.0.1,www.facebook.com,HTTP/1.0,73,0,366,2,0.000412,0.000050,0.000011
192.168.0.1,www.facebook.com,HTTP/1.1,73,36,3453,2,0.000464,0.000066,0.000107
192.168.0.1,www.facebook.com,HTTP/1.0,74,0,366,2,0.000473,0.000057,0.000013
192.168.0.1,www.facebook.com,HTTP/1.1,74,38,3453,2,0.000714,0.000094,0.000118
192.168.0.1,www.facebook.com,HTTP/1.0,75,0,366,2,0.000548,0.000063,0.000010
192.168.0.1,www.facebook.com,HTTP/1.1,75,38,3453,2,0.000463,0.000054,0.000078
192.168.0.1,www.facebook.com,HTTP/1.0,76,0,366,2,0.000438,0.000059,0.000012
192.168.0.1,www.facebook.com,HTTP/1.1,76,38,3453,3,0.000448,0.000043,0.000064
192.168.0.1,www.facebook.com,HTTP/1.0,77,0,366,2,0.000460,0.000058,0.000013
192.168.0.1,www.facebook.com,HTTP/1.1,77,39,3453,2,0.000460,0.000079,0.000043
192.168.0.1,www.facebook.com,HTTP/1.0,78,0,366,2,0.000435,0.000059,0.000013
192.168.0.1,www.facebook.com,HTTP/1.1,78,38,3453,2,0.000458,0.000074,0.000079
192.168.0.1,www.facebook.com,HTTP/1.0,79,0,366,2,0.000492,0.000050,0.000010
192.168.0.1,www.facebook.com,HTTP/1.1,79,40,3453,2,0.000459,0.000051,0.000075
192.168.0.1,www.facebook.com,HTTP/1.0,80,0,366,2,0.000443,0.000054,0.000012
192.168.0.1,www.facebook.com,HTTP/1.1,80,38,3453,2,0.000511,0.000085,0.000101
192.168.0.1,www.facebook.com,HTTP/1.0,81,0,366,2,0.000804,0.000060,0.000012
192.168.0.1,www.facebook.com,HTTP/1.1,81,39,3453,2,0.000414,0.000048,0.000081
192.168.0.1,www.facebook.com,HTTP/1.0,82,0,366,2,0.000435,0.000063,0.000010
192.168.0.1,www.facebook.com,HTTP/1.1,82,39,3453,2,0.000440,0.000103,0.000039
192.168.0.1,www.facebook.com,HTTP/1.0,83,0,366,2,0.000442,0.000057,0.000013
192.168.0.1,www.facebook.com,HTTP/1.1,83,39,3453,3,0.000530,0.000053,0.000081
192.168.0.1,www.facebook.com,HTTP/1.0,84,0,366,2,0.000451,0.000059,0.000009
192.168.0.1,www.facebook.com,HTTP/1.1,84,39,3453,2,0.000434,0.000063,0.000082
192.168.0.1,www.facebook.com,HTTP/1.0,85,0,366,2,0.000550,0.000073,0.000012
192.168.0.1,www.facebook.com,HTTP/1.1,85,39,3453,3,0.000470,0.000052,0.000060
192.168.0.1,www.facebook.com,HTTP/1.0,86,0,366,2,0.000513,0.000058,0.000010
192.168.0.1,www.facebook.com,HTTP/1.1,86,38,3453,2,0.000465,0.000123,0.000098
192.168.0.1,www.facebook.com,HTTP/1.0,87,0,366,2,0.000782,0.000054,0.000012
192.168.0.1,www.facebook.com,HTTP/1.1,87,39,3453,2,0.000421,0.000053,0.000097
192.168.0.1,www.facebook.com,HTTP/1.0,88,0,366,2,0.000679,0.000121,0.000011
192.168.0.1,www.facebook.com,HTTP/1.1,88,37,3453,2,0.000497,0.000055,0.000102
192.168.0.1,www.facebook.com,HTTP/1.0,89,0,366,2,0.000483,0.000052,0.000012
192.168.0.1,www.facebook.com,HTTP/1.1,89,40,3453,2,0.000468,0.000080,0.000097
192.168.0.1,www.facebook.com,HTTP/1.0,90,0,366,2,0.000478,0.000061,0.000013
192.168.0.1,www.facebook.com,HTTP/1.1,90,40,3453,2,0.000479,0.000043,0.000037
192.168.0.1,www.facebook.com,HTTP/1.0,91,0,366,2,0.000471,0.000058,0.000011
192.168.0.1,www.facebook.com,HTTP/1.1,91,39,3453,2,0.000448,0.000064,0.000380
192.168.0.1,www.facebook.com,HTTP/1.0,92,0,366,2,0.000433,0.000074,0.000010
192.168.0.1,www.facebook.com,HTTP/1.1,92,39,3453,2,0.000474,0.000060,0.000072
192.168.0.1,www.facebook.com,HTTP/1.0,93,0,366,2,0.000460,0.000074,0.000010
192.168.0.1,www.facebook.com,HTTP/1.1,93,39,3453,2,0.000458,0.000062,0.000098
192.168.0.1,www.facebook.com,HTTP/1.0,94,0,366,2,0.000432,0.000048,0.000009
192.168.0.1,www.facebook.com,HTTP/1.1,94,40,3453,2,0.000482,0.000058,0.000036
192.168.0.1,www.facebook.com,HTTP/1.0,95,0,366,2,0.000448,0.000045,0.000026
192.168.0.1,www.facebook.com,HTTP/1.1,95,40,3453,2,0.000433,0.000061,0.000098
192.168.0.1,www.facebook.com,HTTP/1.0,96,0,366,2,0.000505,0.000051,0.000009
192.168.0.1,www.facebook.com,HTTP/1.1,96,40,3453,2,0.000395,0.000044,0.000097
192.168.0.1,www.facebook.com,HTTP/1.0,97,0,366,2,0.000438,0.000041,0.000009
192.168.0.1,www.facebook.com,HTTP/1.1,97,40,3453,2,0.000493,0.000082,0.000090
192.168.0.1,www.facebook.com,HTTP/1.0,98,0,366,2,0.000478,0.000320,0.000011
192.168.0.1,www.facebook.com,HTTP/1.1,98,39,3453,2,0.000458,0.000059,0.000100
192.168.0.1,www.facebook.com,HTTP/1.0,99,0,366,2,0.000458,0.000043,0.000010
192.168.0.1,www.facebook.com,HTTP/1.1,99,38,3453,3,0.000446,0.000059,0.000041
192.168.0.1,www.facebook.com,HTTP/1.0,100,0,366,2,0.000435,0.000058,0.000012
192.168.0.1,www.facebook.com,HTTP/1.1,100,41,3453,2,0.000448,0.000051,0.000094
192.168.0.1,www.facebook.com,HTTP/1.0,101,0,366,2,0.000475,0.000047,0.000009
192.168.0.1,www.facebook.com,HTTP/1.1,101,40,3453,2,0.000445,0.000049,0.000087
192.168.0.1,www.facebook.com,HTTP/1.0,102,0,366,2,0.000435,0.000045,0.000010
192.168.0.1,www.facebook.com,HTTP/1.1,102,40,3453,2,0.000458,0.000043,0.000095
192.168.0.1,www.facebook.com,HTTP/1.0,103,0,366,2,0.000489,0.000042,0.000012
192.168.0.1,www.facebook.com,HTTP/1.1,103,40,3453,2,0.000487,0.000114,0.000075
192.168.0.1,www.facebook.com,HTTP/1.0,104,0,366,2,0.000434,0.000042,0.000009
