source,destination,protocol,chunkSize,tCount,fileSize,retransmits,connectTime,requestTime,receiveTime
192.168.0.1,www.yahoo.com,HTTP/1.0,56,54,4597,2,0.000539,0.000078,0.000181
192.168.0.1,www.yahoo.com,HTTP/1.1,56,52,4616,3,0.000494,0.000053,0.000068
192.168.0.1,www.yahoo.com,HTTP/1.0,57,54,4597,3,0.000497,0.000046,0.000073
192.168.0.1,www.yahoo.com,HTTP/1.1,57,54,4616,3,0.000547,0.000062,0.000101
192.168.0.1,www.yahoo.com,HTTP/1.0,58,52,4597,2,0.000486,0.000051,0.000097
192.168.0.1,www.yahoo.com,HTTP/1.1,58,53,4616,2,0.000507,0.000054,0.000201
192.168.0.1,www.yahoo.com,HTTP/1.0,59,53,4597,2,0.000727,0.000051,0.000093
192.168.0.1,www.yahoo.com,HTTP/1.1,59,53,4616,2,0.000489,0.000065,0.000104
192.168.0.1,www.yahoo.com,HTTP/1.0,60,54,4597,2,0.000505,0.000059,0.000063
192.168.0.1,www.yahoo.com,HTTP/1.1,60,55,4616,2,0.000497,0.000049,0.000055
192.168.0.1,www.yahoo.com,HTTP/1.0,61,53,4597,2,0.000501,0.000048,0.000056
192.168.0.1,www.yahoo.com,HTTP/1.1,61,55,4616,2,0.000512,0.000069,0.000092
192.168.0.1,www.yahoo.com,HTTP/1.0,62,55,4593,2,0.000549,0.000055,0.000108
192.168.0.1,www.yahoo.com,HTTP/1.1,62,52,4612,2,0.000489,0.000047,0.000126
192.168.0.1,www.yahoo.com,HTTP/1.0,63,53,4593,2,0.000755,0.000058,0.000053
192.168.0.1,www.yahoo.com,HTTP/1.1,63,53,4612,3,0.000504,0.000048,0.000065
192.168.0.1,www.yahoo.com,HTTP/1.0,64,53,4593,2,0.000531,0.000052,0.000115
192.168.0.1,www.yahoo.com,HTTP/1.1,64,52,4612,2,0.000559,0.000052,0.000125
192.168.0.1,www.yahoo.com,HTTP/1.0,65,54,4593,2,0.000530,0.000071,0.000097
192.168.0.1,www.yahoo.com,HTTP/1.1,65,54,4612,2,0.000458,0.000055,0.000090
192.168.0.1,www.yahoo.com,HTTP/1.0,66,53,4593,4,0.000487,0.000048,0.000092
192.168.0.1,www.yahoo.com,HTTP/1.1,66,55,4612,2,0.000505,0.000048,0.000078
192.168.0.1,www.yahoo.com,HTTP/1.0,67,54,4593,2,0.000511,0.000380,0.000115
192.168.0.1,www.yahoo.com,HTTP/1.1,67,53,4612,3,0.000498,0.000043,0.000064
192.168.0.1,www.yahoo.com,HTTP/1.0,68,54,4593,2,0.000500,0.000052,0.000087
192.168.0.1,www.yahoo.com,HTTP/1.1,68,54,4612,2,0.000521,0.000295,0.000093
192.168.0.1,www.yahoo.com,HTTP/1.0,69,54,4593,2,0.000512,0.000058,0.000117
192.168.0.1,www.yahoo.com,HTTP/1.1,69,54,4612,2,0.000503,0.000056,0.000107
192.168.0.1,www.yahoo.com,HTTP/1.0,70,55,4593,2,0.000696,0.000046,0.000301
192.168.0.1,www.yahoo.com,HTTP/1.1,70,55,4612,2,0.000479,0.000046,0.000109
192.168.0.1,www.yahoo.com,HTTP/1.0,71,54,4593,2,0.000526,0.000095,0.000083
192.168.0.1,www.yahoo.com,HTTP/1.1,71,55,4612,2,0.000492,0.000038,0.000054
192.168.0.1,www.yahoo.com,HTTP/1.0,72,55,4593,2,0.000537,0.000045,0.000119
192.168.0.1,www.yahoo.com,HTTP/1.1,72,55,4612,2,0.000527,0.000047,0.000085
192.168.0.1,www.yahoo.com,HTTP/1.0,73,54,4593,2,0.000525,0.000049,0.000066
192.168.0.1,www.yahoo.com,HTTP/1.1,73,55,4612,2,0.000552,0.000047,0.000092
192.168.0.1,www.yahoo.com,HTTP/1.0,74,53,4593,3,0.000497,0.000267,0.000057
192.168.0.1,www.yahoo.com,HTTP/1.1,74,55,4612,3,0.000536,0.000075,0.000077
192.168.0.1,www.yahoo.com,HTTP/1.0,75,56,4593,2,0.000481,0.000079,0.000094
192.168.0.1,www.yahoo.com,HTTP/1.1,75,55,4612,3,0.000533,0.000044,0.000058
192.168.0.1,www.yahoo.com,HTTP/1.0,76,55,4593,2,0.000527,0.000045,0.000087
192.168.0.1,www.yahoo.com,HTTP/1.1,76,53,4612,3,0.000518,0.000053,0.000058
192.168.0.1,www.yahoo.com,HTTP/1.0,77,53,4593,3,0.000547,0.000045,0.000060
192.168.0.1,www.yahoo.com,HTTP/1.1,77,54,4612,2,0.000491,0.000055,0.000084
192.168.0.1,www.yahoo.com,HTTP/1.0,78,55,4593,3,0.000538,0.000044,0.000054
192.168.0.1,www.yahoo.com,HTTP/1.1,78,56,4612,2,0.000473,0.000050,0.000048
192.168.0.1,www.yahoo.com,HTTP/1.0,79,54,4593,2,0.000510,0.000049,0.000088
192.168.0.1,www.yahoo.com,HTTP/1.1,79,57,4612,2,0.000501,0.000069,0.000116
192.168.0.1,www.yahoo.com,HTTP/1.0,80,55,4593,2,0.000506,0.000052,0.000082
192.168.0.1,www.yahoo.com,HTTP/1.1,80,56,4612,2,0.000477,0.000079,0.000094
192.168.0.1,www.yahoo.com,HTTP/1.0,81,56,4593,2,0.000512,0.000053,0.000763
192.168.0.1,www.yahoo.com,HTTP/1.1,81,56,4612,2,0.000514,0.000049,0.000117
192.168.0.1,www.yahoo.com,HTTP/1.0,82,56,4593,3,0.000548,0.000041,0.000061
192.168.0.1,www.yahoo.com,HTTP/1.1,82,56,4612,3,0.000527,0.000058,0.000055
192.168.0.1,www.yahoo.com,HTTP/1.0,83,54,4593,2,0.000502,0.000067,0.000097
192.168.0.1,www.yahoo.com,HTTP/1.1,83,56,4612,2,0.000450,0.000048,0.000081
192.168.0.1,www.yahoo.com,HTTP/1.0,84,56,4593,2,0.000516,0.000056,0.000087
192.168.0.1,www.yahoo.com,HTTP/1.1,84,56,4612,2,0.000502,0.000043,0.000113
192.168.0.1,www.yahoo.com,HTTP/1.0,85,55,4593,2,0.000499,0.000056,0.000081
192.168.0.1,www.yahoo.com,HTTP/1.1,85,55,4612,3,0.000557,0.000054,0.000070
192.168.0.1,www.yahoo.com,HTTP/1.0,86,56,4593,2,0.000496,0.000045,0.000171
192.168.0.1,www.yahoo.com,HTTP/1.1,86,54,4612,3,0.000807,0.000767,0.000057
192.168.0.1,www.yahoo.com,HTTP/1.0,87,56,4593,2,0.000507,0.000057,0.000080
192.168.0.1,www.yahoo.com,HTTP/1.1,87,54,4612,2,0.000540,0.000061,0.000078
192.168.0.1,www.yahoo.com,HTTP/1.0,88,57,4593,3,0.000519,0.000063,0.000335
192.168.0.1,www.yahoo.com,HTTP/1.1,88,55,4612,3,0.000456,0.000044,0.000066
192.168.0.1,www.yahoo.com,HTTP/1.0,89,54,4593,2,0.000495,0.000050,0.000087
192.168.0.1,www.yahoo.com,HTTP/1.1,89,54,4612,2,0.000491,0.000047,0.000045
192.168.0.1,www.yahoo.com,HTTP/1.0,90,57,4593,2,0.000523,0.000060,0.000078
192.168.0.1,www.yahoo.com,HTTP/1.1,90,55,4612,3,0.000481,0.000055,0.000087
192.168.0.1,www.yahoo.com,HTTP/1.0,91,56,4593,3,0.000591,0.000052,0.000047
192.168.0.1,www.yahoo.com,HTTP/1.1,91,55,4612,2,0.000470,0.000055,0.000092
192.168.0.1,www.yahoo.com,HTTP/1.0,92,54,4593,3,0.000557,0.000050,0.000078
192.168.0.1,www.yahoo.com,HTTP/1.1,92,55,4612,2,0.000508,0.000053,0.000095
192.168.0.1,www.yahoo.com,HTTP/1.0,93,55,4593,2,0.000533,0.000058,0.000078
192.168.0.1,www.yahoo.com,HTTP/1.1,93,55,4612,3,0.000483,0.000059,0.000068
192.168.0.1,www.yahoo.com,HTTP/1.0,94,56,4593,2,0.000498,0.000052,0.000076
192.168.0.1,www.yahoo.com,HTTP/1.1,94,55,4612,2,0.000520,0.000050,0.000078
192.168.0.1,www.yahoo.com,HTTP/1.0,95,55,4593,2,0.000538,0.000054,0.000103
192.168.0.1,www.yahoo.com,HTTP/1.1,95,55,4612,2,0.000488,0.000054,0.000106
192.168.0.1,www.yahoo.com,HTTP/1.0,96,57,4593,3,0.000570,0.000057,0.000057
192.168.0.1,www.yahoo.com,HTTP/1.1,96,54,4612,2,0.000457,0.000046,0.000084
192.168.0.1,www.yahoo.com,HTTP/1.0,97,54,4593,3,0.000553,0.000051,0.000058
192.168.0.1,www.yahoo.com,HTTP/1.1,97,57,4612,2,0.000485,0.000043,0.000120
192.168.0.1,www.yahoo.com,HTTP/1.0,98,56,4593,2,0.000556,0.000052,0.000080
192.168.0.1,www.yahoo.com,HTTP/1.1,98,55,4612,2,0.000527,0.000047,0.000105
192.168.0.1,www.yahoo.com,HTTP/1.0,99,56,4593,2,0.000500,0.000052,0.000082
192.168.0.1,www.yahoo.com,HTTP/1.1,99,56,4612,2,0.000553,0.000040,0.000040
192.168.0.1,www.yahoo.com,HTTP/1.0,100,55,4593,2,0.000488,0.000058,0.000160
192.168.0.1,www.yahoo.com,HTTP/1.1,100,54,4612,3,0.000530,0.000043,0.000061
192.168.0.1,www.yahoo.com,HTTP/1.0,101,57,4593,2,0.000471,0.000050,0.000075
192.168.0.1,www.yahoo.com,HTTP/1.1,101,56,4612,3,0.000471,0.000055,0.000052
192.168.0.1,www.yahoo.com,HTTP/1.0,102,57,4593,3,0.000527,0.000042,0.000056
192.168.0.1,www.yahoo.com,HTTP/1.1,102,54,4612,2,0.000506,0.000060,0.000100
192.168.0.1,www.yahoo.com,HTTP/1.0,103,57,4593,2,0.000546,0.000048,0.000073
192.168.0.1,www.yahoo.com,HTTP/1.1,103,55,4612,2,0.000508,0.000060,0.000099
192.168.0.1,www.yahoo.com,HTTP/1.0,104,56,4593,2,0.000510,0.000075,0.000044
192.168.0.1,www.yahoo.com,HTTP/1.1,104,57,4612,2,0.000510,0.000048,0.000107
192.168.0.1,www.yahoo.com,HTTP/1.0,105,56,4593,2,0.000491,0.000052,0.000071
192.168.0.1,www.yahoo.com,HTTP/1.1,105,56,4612,2,0.000481,0.000055,0.000103
192.168.0.1,www.yahoo.com,HTTP/1.0,106,57,4593,2,0.000566,0.000045,0.000080
192.168.0.1,www.yahoo.com,HTTP/1.1,106,56,4612,3,0.000554,0.000054,0.000256
192.168.0.1,www.yahoo.com,HTTP/1.0,107,57,4593,2,0.000488,0.000046,0.000108
192.168.0.1,www.yahoo.com,HTTP/1.1,107,56,4612,2,0.000494,0.000058,0.000074
192.168.0.1,www.yahoo.com,HTTP/1.0,108,55,4593,2,0.000508,0.000086,0.000060
192.168.0.1,www.yahoo.com,HTTP/1.1,108,56,4612,2,0.000476,0.000051,0.000167
192.168.0.1,www.yahoo.com,HTTP/1.0,109,55,4593,2,0.000501,0.000079,0.000072
192.168.0.1,www.yahoo.com,HTTP/1.1,109,57,4612,2,0.000507,0.000063,0.000077
192.168.0.1,www.yahoo.com,HTTP/1.0,110,56,4593,2,0.000505,0.000065,0.000107
192.168.0.1,www.yahoo.com,HTTP/1.1,110,56,4612,3,0.000497,0.000073,0.000061
192.168.0.1,www.yahoo.com,HTTP/1.0,111,57,4593,2,0.000555,0.000075,0.000124
192.168.0.1,www.yahoo.com,HTTP/1.1,111,57,4612,2,0.000479,0.000037,0.000096
192.168.0.1,www.yahoo.com,HTTP/1.0,112,57,4593,2,0.000500,0.000054,0.000099
192.168.0.1,www.yahoo.com,HTTP/1.1,112,56,4612,2,0.000516,0.000063,0.000109
192.168.0.1,www.yahoo.com,HTTP/1.0,113,55,4593,2,0.000485,0.000048,0.000112
192.168.0.1,www.yahoo.com,HTTP/1.1,113,58,4612,2,0.000863,0.000046,0.000082
192.168.0.1,www.yahoo.com,HTTP/1.0,114,57,4593,2,0.000534,0.000049,0.000075
192.168.0.1,www.yahoo.com,HTTP/1.1,114,58,4612,2,0.000469,0.000053,0.000041
192.168.0.1,www.yahoo.com,HTTP/1.0,115,57,4593,2,0.000580,0.000048,0.000221
192.168.0.1,www.yahoo.com,HTTP/1.1,115,57,4612,2,0.000479,0.000107,0.000075
192.168.0.1,www.yahoo.com,HTTP/1.0,116,56,4593,2,0.000530,0.000050,0.000106
192.168.0.1,www.yahoo.com,HTTP/1.1,116,56,4612,2,0.000501,0.000056,0.000094
192.168.0.1,www.yahoo.com,HTTP/1.0,117,56,4593,2,0.000486,0.000055,0.000119
192.168.0.1,www.yahoo.com,HTTP/1.1,117,56,4612,2,0.000530,0.000037,0.000117
192.168.0.1,www.yahoo.com,HTTP/1.0,118,53,4593,3,0.000495,0.000054,0.000061
192.168.0.1,www.yahoo.com,HTTP/1.1,118,57,4612,2,0.000493,0.000062,0.000080
192.168.0.1,www.yahoo.com,HTTP/1.0,119,55,4593,4,0.000490,0.000058,0.000082
192.168.0.1,www.yahoo.com,HTTP/1.1,119,57,4612,2,0.000580,0.000054,0.000097
192.168.0.1,www.yahoo.com,HTTP/1.0,120,57,4593,2,0.000522,0.000058,0.000113
192.168.0.1,www.yahoo.com,HTTP/1.1,120,57,4612,2,0.000501,0.000053,0.000095
