source,destination,protocol,chunkSize,tCount,fileSize,retransmits,connectTime,requestTime,receiveTime
192.168.0.1,www.google.com,HTTP/1.1,59,290,48854,16,0.000653,0.000060,0.001178
192.168.0.1,www.google.com,HTTP/1.0,60,284,48657,15,0.000451,0.000051,0.000763
192.168.0.1,www.google.com,HTTP/1.1,60,285,48821,11,0.000446,0.000050,0.000820
192.168.0.1,www.google.com,HTTP/1.0,61,284,48630,11,0.000429,0.000046,0.000659
192.168.0.1,www.google.com,HTTP/1.1,61,288,48819,13,0.000435,0.000058,0.000776
192.168.0.1,www.google.com,HTTP/1.0,62,280,48567,16,0.000428,0.000035,0.000670
192.168.0.1,www.google.com,HTTP/1.1,62,289,48855,11,0.000412,0.000057,0.000972
192.168.0.1,www.google.com,HTTP/1.0,63,283,48630,12,0.000395,0.000057,0.000793
192.168.0.1,www.google.com,HTTP/1.1,63,290,48841,17,0.000462,0.000052,0.000729
192.168.0.1,www.google.com,HTTP/1.0,64,281,48639,12,0.000425,0.000057,0.000807
192.168.0.1,www.google.com,HTTP/1.1,64,288,48856,13,0.000429,0.000046,0.000763
192.168.0.1,www.google.com,HTTP/1.0,65,288,48574,2,0.000480,0.000062,0.000770
192.168.0.1,www.google.com,HTTP/1.1,65,285,48813,2,0.000687,0.000068,0.000739
192.168.0.1,www.google.com,HTTP/1.0,66,283,48666,7,0.000435,0.000050,0.000895
192.168.0.1,www.google.com,HTTP/1.1,66,285,48830,9,0.000573,0.000044,0.000922
192.168.0.1,www.google.com,HTTP/1.0,67,284,48570,13,0.000408,0.000107,0.000754
192.168.0.1,www.google.com,HTTP/1.1,67,292,48820,12,0.000414,0.000058,0.000977
192.168.0.1,www.google.com,HTTP/1.0,68,285,48607,11,0.000427,0.000040,0.000719
192.168.0.1,www.google.com,HTTP/1.1,68,286,48887,18,0.000416,0.000051,0.000674
192.168.0.1,www.google.com,HTTP/1.0,69,285,48609,13,0.000463,0.000059,0.000760
192.168.0.1,www.google.com,HTTP/1.1,69,289,48849,14,0.000444,0.000050,0.000748
192.168.0.1,www.google.com,HTTP/1.0,70,285,48590,11,0.000702,0.000057,0.000895
192.168.0.1,www.google.com,HTTP/1.1,70,292,48854,17,0.000460,0.000042,0.000706
192.168.0.1,www.google.com,HTTP/1.0,71,283,48618,13,0.000418,0.000049,0.000717
192.168.0.1,www.google.com,HTTP/1.1,71,287,48807,14,0.000428,0.000051,0.000574
192.168.0.1,www.google.com,HTTP/1.0,72,285,48585,17,0.000662,0.000060,0.000684
192.168.0.1,www.google.com,HTTP/1.1,72,290,48860,13,0.000413,0.000048,0.000606
192.168.0.1,www.google.com,HTTP/1.0,73,283,48683,14,0.000493,0.000078,0.001112
192.168.0.1,www.google.com,HTTP/1.1,73,288,48851,13,0.000417,0.000049,0.000533
192.168.0.1,www.google.com,HTTP/1.0,74,286,48581,12,0.000432,0.000047,0.000596
192.168.0.1,www.google.com,HTTP/1.1,74,291,48842,12,0.000468,0.000063,0.000663
192.168.0.1,www.google.com,HTTP/1.0,75,283,48601,16,0.000689,0.000050,0.000934
192.168.0.1,www.google.com,HTTP/1.1,75,290,48852,11,0.000419,0.000743,0.000645
192.168.0.1,www.google.com,HTTP/1.0,76,289,48603,12,0.000441,0.000068,0.000788
192.168.0.1,www.google.com,HTTP/1.1,76,288,48778,17,0.000424,0.000057,0.000544
192.168.0.1,www.google.com,HTTP/1.0,77,284,48633,17,0.000419,0.000059,0.000748
192.168.0.1,www.google.com,HTTP/1.1,77,290,48835,11,0.000436,0.000051,0.000502
192.168.0.1,www.google.com,HTTP/1.0,78,284,48625,13,0.000636,0.000227,0.000747
192.168.0.1,www.google.com,HTTP/1.1,78,290,48876,15,0.000445,0.000124,0.000818
192.168.0.1,www.google.com,HTTP/1.0,79,283,48617,16,0.000440,0.000044,0.000559
192.168.0.1,www.google.com,HTTP/1.1,79,293,48835,15,0.000459,0.000048,0.000673
192.168.0.1,www.google.com,HTTP/1.0,80,286,48601,16,0.000627,0.000056,0.000702
192.168.0.1,www.google.com,HTTP/1.1,80,290,48827,13,0.000450,0.000049,0.000729
192.168.0.1,www.google.com,HTTP/1.0,81,287,48638,11,0.000441,0.000065,0.000659
192.168.0.1,www.google.com,HTTP/1.1,81,292,48854,13,0.000418,0.000049,0.000639
192.168.0.1,www.google.com,HTTP/1.0,82,286,48614,11,0.000436,0.000041,0.000576
192.168.0.1,www.google.com,HTTP/1.1,82,291,48832,11,0.000421,0.000042,0.000501
192.168.0.1,www.google.com,HTTP/1.0,83,283,48609,15,0.000411,0.000057,0.000739
192.168.0.1,www.google.com,HTTP/1.1,83,293,48826,12,0.000422,0.000049,0.000555
192.168.0.1,www.google.com,HTTP/1.0,84,292,48597,10,0.000437,0.000049,0.000619
192.168.0.1,www.google.com,HTTP/1.1,84,291,48849,11,0.000437,0.000069,0.000657
192.168.0.1,www.google.com,HTTP/1.0,85,291,48643,12,0.000453,0.000043,0.000533
192.168.0.1,www.google.com,HTTP/1.1,85,296,48865,13,0.000418,0.000042,0.000739
192.168.0.1,www.google.com,HTTP/1.0,86,288,48600,13,0.000408,0.000052,0.001331
192.168.0.1,www.google.com,HTTP/1.1,86,287,48839,12,0.000602,0.000045,0.000582
192.168.0.1,www.google.com,HTTP/1.0,87,289,48578,12,0.000426,0.000058,0.000887
192.168.0.1,www.google.com,HTTP/1.1,87,289,48878,12,0.000490,0.000049,0.000606
192.168.0.1,www.google.com,HTTP/1.0,88,284,48566,11,0.000409,0.000058,0.001006
192.168.0.1,www.google.com,HTTP/1.1,88,290,48851,12,0.000439,0.000050,0.000532
192.168.0.1,www.google.com,HTTP/1.0,89,287,48595,17,0.000483,0.000041,0.000564
192.168.0.1,www.google.com,HTTP/1.1,89,295,48809,15,0.000442,0.000059,0.001114
192.168.0.1,www.google.com,HTTP/1.0,90,286,48616,13,0.000427,0.000047,0.000532
192.168.0.1,www.google.com,HTTP/1.1,90,292,48828,14,0.000415,0.000047,0.000862
192.168.0.1,www.google.com,HTTP/1.0,91,290,48593,13,0.000751,0.000044,0.000471
192.168.0.1,www.google.com,HTTP/1.1,91,294,48872,11,0.000430,0.000050,0.000687
192.168.0.1,www.google.com,HTTP/1.0,92,287,48640,12,0.000435,0.000042,0.000727
192.168.0.1,www.google.com,HTTP/1.1,92,294,48828,10,0.000770,0.000041,0.000594
192.168.0.1,www.google.com,HTTP/1.0,93,288,48627,12,0.000431,0.000054,0.000601
192.168.0.1,www.google.com,HTTP/1.1,93,291,48846,12,0.000584,0.000053,0.000630
192.168.0.1,www.google.com,HTTP/1.0,94,289,48601,14,0.000448,0.000053,0.000570
192.168.0.1,www.google.com,HTTP/1.1,94,294,48822,16,0.000451,0.000051,0.000758
192.168.0.1,www.google.com,HTTP/1.0,95,289,48633,16,0.000421,0.000059,0.000515
192.168.0.1,www.google.com,HTTP/1.1,95,291,48821,18,0.000411,0.000043,0.000529
192.168.0.1,www.google.com,HTTP/1.0,96,292,48627,12,0.000426,0.000041,0.000644
192.168.0.1,www.google.com,HTTP/1.1,96,291,48795,14,0.000467,0.000057,0.000693
192.168.0.1,www.google.com,HTTP/1.0,97,289,48598,20,0.000408,0.000039,0.000540
192.168.0.1,www.google.com,HTTP/1.1,97,291,48865,17,0.000463,0.000052,0.000626
192.168.0.1,www.google.com,HTTP/1.0,98,292,48639,17,0.000421,0.000051,0.000562
192.168.0.1,www.google.com,HTTP/1.1,98,295,48827,17,0.000436,0.000405,0.000582
192.168.0.1,www.google.com,HTTP/1.0,99,284,48594,18,0.000452,0.000059,0.000752
192.168.0.1,www.google.com,HTTP/1.1,99,294,48877,15,0.000456,0.000050,0.000516
